File Name: C:\RBX_Files\Mice_384_Media_20221025_183815.rbx,,,,,,,,,,,,,,,,,,,,,,,,,
"Acquisition Date: 25-Oct-2022, 04:28 AM",,,,,,,,,,,,,,,,,,,,,,,,,
Reader Serial Number: FM3DD20314022,,,,,,,,,,,,,,,,,,,,,,,,,
Plate ID: ,,,,,,,,,,,,,,,,,,,,,,,,,
RP1 PMT (Volts): 532.38,,,,,,,,,,,,,,,,,,,,,,,,,
RP1 Target: NA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Eotaxin (74),G-CSF (54),GM-CSF (73),IFN-gamma (34),IL-17A (72),IL-1Beta (19),IL-1alpha (53),IL10 (56),IL12p40 (76),IL12p70 (78),IL13 (37),IL2 (36),IL3 (18),IL4 (39),IL5 (52),IL6 (38),IL9 (33),KC (57),MCP-1 (51),MIP-1Beta (75),MIP-1alpha (77),RANTES (55),TNF-alpha (21)
X47,"A12,B12,C12",Sample ID: AAAV2,6.77,OOR <,OOR <,*0.98,OOR <,*0.39,OOR <,3.86,16.05,3.17,*5.54,OOR <,OOR <,OOR <,OOR <,*0.10,3.73,466.28,1187.91,265.75,472.67,25.29,OOR <
X48,"D12,E12,F12",Sample ID: AAAV3,7.57,OOR <,*2.06,1.63,OOR <,*0.23,*0.20,4.32,24.15,7.41,*3.14,OOR <,OOR <,OOR <,OOR <,OOR <,3.82,644.15,1498.62,350,484.62,16.25,*0.68
X49,"G12,H12,I12",Sample ID: DS1,13.17,287.4,*3.15,2.43,OOR <,*0.20,1.71,*3.00,*9.19,9.9,*10.41,OOR <,OOR <,OOR <,OOR <,*0.37,4.48,593.4,1389.38,643.63,1009.53,12.19,*0.25
X50,"J12,K12,L12",Sample ID: DS2,10.2,OOR <,OOR <,*0.92,OOR <,*0.25,1.18,*2.42,*8.40,8.64,*4.40,OOR <,OOR <,OOR <,OOR <,*0.01,*2.50,586.54,1741.68,375.56,750.41,17.07,OOR <
X51,"M12,N12,O12",Sample ID: DS3,10.92,OOR <,OOR <,1.97,OOR <,*0.25,1.21,3.58,15.14,6.2,*5.74,OOR <,OOR <,OOR <,OOR <,OOR <,6.07,590.44,1318.27,523.77,808.44,20.11,OOR <
X52,"A13,B13,C13",Sample ID: DSV1,OOR <,OOR <,*0.27,1.26,OOR <,*0.41,*0.16,*2.59,13.68,3.3,*6.38,OOR <,OOR <,OOR <,OOR <,*0.51,3.53,424.36,1183.18,113.07,180.72,8.08,OOR <
X53,"D13,E13,F13",Sample ID: DSV2,9.67,OOR <,*0.85,1.09,OOR <,*0.28,*0.64,3.62,*12.12,7.12,*5.94,OOR <,OOR <,OOR <,OOR <,*0.15,6.06,704.29,1905.14,406.62,917.1,18.14,OOR <
X54,"G13,H13,I13",Sample ID: DSV3,9.88,OOR <,OOR <,1.22,OOR <,*0.14,OOR <,*2.40,16.57,7.29,*5.63,OOR <,OOR <,OOR <,OOR <,OOR <,3.75,539.4,1356.67,414.1,697.93,18.5,OOR <
,,,,,,,,,,,,,,,,,,,,,,,,,
*** = Value not available;   --- = Designated as an outlier,,,,,,,,,,,,,,,,,,,,,,,,,
*Value = Value extrapolated beyond standard range,,,,,,,,,,,,,,,,,,,,,,,,,
OOR = Out of Range;   OOR> = Out of Range Above;   OOR< = Out of Range Below,,,,,,,,,,,,,,,,,,,,,,,,,
Exp Conc = Expected Concentration;   Obs Conc = Observed  Concentration,,,,,,,,,,,,,,,,,,,,,,,,,
